Title,Decision,Decision_Date,PDF File,Application Date,Disease_Category,HT_Category
Risdiplam for treating spinal muscular atrophy,Conditional,2021-12-16,Risdiplam_for_treating_spinal_muscular_atrophy.pdf,2020-10,"Nervous System, Rare Disease (Orphan Drugs), Musculoskeletal diseases",Drug
"Pembrolizumab plus chemotherapy with or without bevacizumab for persistent, recurrent or metastatic cervical cancer",Conditional,2023-12-13,"Pembrolizumab_plus_chemotherapy_with_or_without_bevacizumab_for_persistent,_recurrent_or_metastatic_cervical_cancer.pdf",2023-05,Cancer,Drug
Dupilumab for treating eosinophilic oesophagitis in people 12 years and over (terminated appraisal),Rejected,2023-12-07,Dupilumab_for_treating_eosinophilic_oesophagitis_in_people_12_years_and_over_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
Secukinumab for treating moderate to severe hidradenitis suppurativa,Conditional,2023-12-06,Secukinumab_for_treating_moderate_to_severe_hidradenitis_suppurativa.pdf,2022-12,Chronic,Drug
Idecabtagene vicleucel for treating relapsed and refractory multiple myeloma after 3 or more treatments (terminated appraisal),Rejected,2023-11-30,Idecabtagene_vicleucel_for_treating_relapsed_and_refractory_multiple_myeloma_after_3_or_more_treatments_(terminated_appraisal).pdf,,Cancer,Drug
Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies (terminated appraisal),Rejected,2023-11-29,Tisagenlecleucel_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_after_2_or_more_systemic_therapies_(terminated_appraisal).pdf,,Cancer,Drug
Foslevodopa–foscarbidopa for treating advanced Parkinson’s with motor symptoms,Conditional,2023-11-29,Foslevodopa–foscarbidopa_for_treating_advanced_Parkinson’s_with_motor_symptoms.pdf,2022-08,"Nervous System, Chronic",Drug
Decitabine–cedazuridine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable (terminated appraisal),Rejected,2023-11-23,Decitabine–cedazuridine_for_untreated_acute_myeloid_leukaemia_when_intensive_chemotherapy_is_unsuitable_(terminated_appraisal).pdf,,Cancer,Drug
Zanubrutinib for treating chronic lymphocytic leukaemia,Conditional,2023-11-22,Zanubrutinib_for_treating_chronic_lymphocytic_leukaemia.pdf,2023-02,"Chronic, Cancer",Drug
Lutetium-177 vipivotide tetraxetan for treating PSMA-positive hormone-relapsed metastatic prostate cancer after 2 or more treatments,Rejected,2023-11-15,Lutetium-177_vipivotide_tetraxetan_for_treating_PSMA-positive_hormone-relapsed_metastatic_prostate_cancer_after_2_or_more_treatments.pdf,,Cancer,Drug
Empagliflozin for treating chronic heart failure with preserved or mildly reduced ejection fraction,Approved,2023-11-01,Empagliflozin_for_treating_chronic_heart_failure_with_preserved_or_mildly_reduced_ejection_fraction.pdf,,"Cardiovascular, Chronic",Drug
Cabozantinib for previously treated advanced differentiated thyroid cancer unsuitable for or refractory to radioactive iodine,Rejected,2023-11-01,Cabozantinib_for_previously_treated_advanced_differentiated_thyroid_cancer_unsuitable_for_or_refractory_to_radioactive_iodine.pdf,2022-09,Cancer,Drug
Ranibizumab for treating diabetic macular oedema,Rejected,2013-02-27,Ranibizumab_for_treating_diabetic_macular_oedema.pdf,,Chronic,Drug
Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma when a stem cell transplant is unsuitable,Approved,2023-10-25,Daratumumab_with_lenalidomide_and_dexamethasone_for_untreated_multiple_myeloma_when_a_stem_cell_transplant_is_unsuitable.pdf,2022-05,"Cancer, Chronic",Drug
Tirzepatide for treating type 2 diabetes,Conditional,2023-10-25,Tirzepatide_for_treating_type_2_diabetes.pdf,,Chronic,Drug
Baricitinib for treating severe alopecia areata,Rejected,2023-10-25,Baricitinib_for_treating_severe_alopecia_areata.pdf,2022-08,Rare Disease (Orphan Drugs),Drug
Mirikizumab for treating moderately to severely active ulcerative colitis,Conditional,2023-10-25,Mirikizumab_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,2022-12,Chronic,Drug
Tabelecleucel for treating post-transplant lymphoproliferative disorder caused by the Epstein-Barr virus (terminated appraisal),Rejected,2023-10-19,Tabelecleucel_for_treating_post-transplant_lymphoproliferative_disorder_caused_by_the_Epstein-Barr_virus_(terminated_appraisal).pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Rimegepant for treating migraine,Conditional,2023-10-18,Rimegepant_for_treating_migraine.pdf,2022-06,Nervous System,Drug
Tofacitinib for treating active ankylosing spondylitis,Conditional,2023-10-18,Tofacitinib_for_treating_active_ankylosing_spondylitis.pdf,2021-11,Musculoskeletal diseases,Drug
Ruxolitinib for treating polycythaemia vera,Approved,2023-10-18,Ruxolitinib_for_treating_polycythaemia_vera.pdf,2022-10,Rare Disease (Orphan Drugs),Drug
Daridorexant for treating long-term insomnia,Conditional,2023-10-18,Daridorexant_for_treating_long-term_insomnia.pdf,2022-07,Nervous System,Drug
Glofitamab for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic treatments,Approved,2023-10-17,Glofitamab_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_after_2_or_more_systemic_treatments.pdf,,Cancer,Drug
Bimekizumab for treating axial spondyloarthritis,Conditional,2023-10-11,Bimekizumab_for_treating_axial_spondyloarthritis.pdf,,Musculoskeletal diseases,Drug
Pegunigalsidase alfa for treating Fabry disease,Conditional,2023-10-04,Pegunigalsidase_alfa_for_treating_Fabry_disease.pdf,2023-01,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Bimekizumab for treating active psoriatic arthritis,Conditional,2023-10-04,Bimekizumab_for_treating_active_psoriatic_arthritis.pdf,,Musculoskeletal diseases,Drug
"Pembrolizumab for previously treated endometrial, biliary, colorectal, gastric or small intestine cancer with high microsatellite instability or mismatch repair deficiency",Approved,2023-09-20,"Pembrolizumab_for_previously_treated_endometrial,_biliary,_colorectal,_gastric_or_small_intestine_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf",2023-01,Cancer,Drug
Mavacamten for treating symptomatic obstructive hypertrophic cardiomyopathy,Conditional,2023-09-06,Mavacamten_for_treating_symptomatic_obstructive_hypertrophic_cardiomyopathy.pdf,2022-06,"Cardiovascular, Chronic",Drug
Semaglutide for managing overweight and obesity,Conditional,2023-03-08,Semaglutide_for_managing_overweight_and_obesity.pdf,,Chronic,Drug
Cipaglucosidase alfa with miglustat for treating late-onset Pompe disease,Conditional,2023-08-15,Cipaglucosidase_alfa_with_miglustat_for_treating_late-onset_Pompe_disease.pdf,,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs), Musculoskeletal diseases",Drug
Selpercatinib for untreated RET fusion-positive advanced non-small-cell lung cancer,Conditional,2023-07-26,Selpercatinib_for_untreated_RET_fusion-positive_advanced_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Semaglutide for managing overweight and obesity in young people aged 12 to 17 years (terminated appraisal),Rejected,2023-07-13,Semaglutide_for_managing_overweight_and_obesity_in_young_people_aged_12_to_17_years_(terminated_appraisal).pdf,,Chronic,Drug
Lorlatinib for untreated ALK-positive advanced non-small-cell lung cancer,Rejected,2023-07-12,Lorlatinib_for_untreated_ALK-positive_advanced_non-small-cell_lung_cancer.pdf,2022-05,Cancer,Drug
Rimegepant for preventing migraine,Conditional,2023-07-05,Rimegepant_for_preventing_migraine.pdf,2022-06,Nervous System,Drug
"Olaparib for maintenance treatment of relapsed, platinum-sensitive ovarian, fallopian tube or peritoneal cancer after 2 or more courses of platinum-based chemotherapy",Conditional,2023-07-05,"Olaparib_for_maintenance_treatment_of_relapsed,_platinum-sensitive_ovarian,_fallopian_tube_or_peritoneal_cancer_after_2_or_more_courses_of_platinum-based_chemotherapy.pdf",,"Cancer, Obstetrics/Gynaecology",Drug
Deucravacitinib for treating moderate to severe plaque psoriasis,Conditional,2023-06-28,Deucravacitinib_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2022-04,Chronic,Drug
Dapagliflozin for treating chronic heart failure with preserved or mildly reduced ejection fraction,Approved,2023-06-21,Dapagliflozin_for_treating_chronic_heart_failure_with_preserved_or_mildly_reduced_ejection_fraction.pdf,2022-09,"Cardiovascular, Chronic",Drug
Darolutamide with androgen deprivation therapy and docetaxel for treating hormone-sensitive metastatic prostate cancer,Approved,2023-06-21,Darolutamide_with_androgen_deprivation_therapy_and_docetaxel_for_treating_hormone-sensitive_metastatic_prostate_cancer.pdf,2022-09,Cancer,Drug
Pembrolizumab with lenvatinib for previously treated advanced or recurrent endometrial cancer,Approved,2023-06-21,Pembrolizumab_with_lenvatinib_for_previously_treated_advanced_or_recurrent_endometrial_cancer.pdf,,"Cancer, Obstetrics/Gynaecology",Drug
Upadacitinib for previously treated moderately to severely active Crohn’s disease,Conditional,2023-06-21,Upadacitinib_for_previously_treated_moderately_to_severely_active_Crohn’s_disease.pdf,2022-10,Chronic,Drug
Cemiplimab for treating recurrent or metastatic cervical cancer (terminated appraisal),Rejected,2023-06-20,Cemiplimab_for_treating_recurrent_or_metastatic_cervical_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Dabrafenib plus trametinib for treating BRAF V600 mutation-positive advanced non-small-cell lung cancer,Conditional,2023-06-14,Dabrafenib_plus_trametinib_for_treating_BRAF_V600_mutation-positive_advanced_non-small-cell_lung_cancer.pdf,2022-08,Cancer,Drug
Tixagevimab plus cilgavimab for preventing COVID-19,Rejected,2023-06-14,Tixagevimab_plus_cilgavimab_for_preventing_COVID-19.pdf,2022-11,NULL,Drug
Axicabtagene ciloleucel for treating relapsed or refractory follicular lymphoma,Rejected,2023-06-07,Axicabtagene_ciloleucel_for_treating_relapsed_or_refractory_follicular_lymphoma.pdf,2022-01,Cancer,Drug
Axicabtagene ciloleucel for treating relapsed or refractory diffuse large B-cell lymphoma after first-line chemoimmunotherapy,Conditional,2023-06-07,Axicabtagene_ciloleucel_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_after_first-line_chemoimmunotherapy.pdf,2022-03,Cancer,Drug
Bulevirtide for treating chronic hepatitis D,Conditional,2023-06-07,Bulevirtide_for_treating_chronic_hepatitis_D.pdf,2022-04,Chronic,Drug
Brexucabtagene autoleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 26 years and over,Conditional,2023-06-07,Brexucabtagene_autoleucel_for_treating_relapsed_or_refractory_B-cell_acute_lymphoblastic_leukaemia_in_people_26_years_and_over.pdf,2021-11,"Cancer, Rare Disease (Orphan Drugs)",Drug
Daratumumab with bortezomib and dexamethasone for previously treated multiple myeloma,Conditional,2023-06-06,Daratumumab_with_bortezomib_and_dexamethasone_for_previously_treated_multiple_myeloma.pdf,,Cancer,Drug
Esketamine for treating major depressive disorder in adults at imminent risk of suicide (terminated appraisal),Rejected,2023-06-06,Esketamine_for_treating_major_depressive_disorder_in_adults_at_imminent_risk_of_suicide_(terminated_appraisal).pdf,,Nervous System,Drug
Ibrutinib with venetoclax for untreated chronic lymphocytic leukaemia,Conditional,2023-05-31,Ibrutinib_with_venetoclax_for_untreated_chronic_lymphocytic_leukaemia.pdf,,"Chronic, Cancer",Drug
Mosunetuzumab for treating relapsed or refractory follicular lymphoma,Rejected,2023-05-31,Mosunetuzumab_for_treating_relapsed_or_refractory_follicular_lymphoma.pdf,2022-05,Cancer,Drug
Risankizumab for previously treated moderately to severely active Crohn's disease,Conditional,2023-05-17,Risankizumab_for_previously_treated_moderately_to_severely_active_Crohn's_disease.pdf,2022-06,Chronic,Drug
Ciltacabtagene autoleucel for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2023-05-17,Ciltacabtagene_autoleucel_for_treating_relapsed_or_refractory_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Difelikefalin for treating pruritus in people having haemodialysis,Approved,2023-05-17,Difelikefalin_for_treating_pruritus_in_people_having_haemodialysis.pdf,,Chronic,Drug
Olaparib for adjuvant treatment of BRCA mutation-positive HER2-negative high-risk early breast cancer after chemotherapy,Approved,2023-05-10,Olaparib_for_adjuvant_treatment_of_BRCA_mutation-positive_HER2-negative_high-risk_early_breast_cancer_after_chemotherapy.pdf,,Cancer,Drug
Olaparib for previously treated BRCA mutation-positive hormone-relapsed metastatic prostate cancer,Approved,2023-05-10,Olaparib_for_previously_treated_BRCA_mutation-positive_hormone-relapsed_metastatic_prostate_cancer.pdf,,Cancer,Drug
Ripretinib for treating advanced gastrointestinal stromal tumour after 3 or more treatments,Rejected,2023-05-03,Ripretinib_for_treating_advanced_gastrointestinal_stromal_tumour_after_3_or_more_treatments.pdf,2022-05,Cancer,Drug
Voclosporin with mycophenolate mofetil for treating lupus nephritis,Approved,2023-05-03,Voclosporin_with_mycophenolate_mofetil_for_treating_lupus_nephritis.pdf,2022-05,"Chronic, Urinary-Track Diseases",Drug
Tafasitamab with lenalidomide for treating relapsed or refractory diffuse large B-cell lymphoma,Rejected,2023-05-03,Tafasitamab_with_lenalidomide_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma.pdf,2022-05,Cancer,Drug
Capmatinib for treating advanced non-small-cell lung cancer with MET exon 14 skipping (terminated appraisal),Rejected,2023-05-03,Capmatinib_for_treating_advanced_non-small-cell_lung_cancer_with_MET_exon_14_skipping_(terminated_appraisal).pdf,,Cancer,Drug
Tezepelumab for treating severe asthma,Conditional,2023-04-20,Tezepelumab_for_treating_severe_asthma.pdf,,Chronic,Drug
Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic gastric or gastro-oesophageal junction cancer after anti-HER2 treatment (terminated appraisal),Rejected,2023-04-06,Trastuzumab_deruxtecan_for_treating_HER2-positive_unresectable_or_metastatic_gastric_or_gastro-oesophageal_junction_cancer_after_anti-HER2_treatment_(terminated_appraisal).pdf,,Cancer,Drug
Finerenone for treating chronic kidney disease in type 2 diabetes,Conditional,2023-03-23,Finerenone_for_treating_chronic_kidney_disease_in_type_2_diabetes.pdf,2022-01,"Chronic, Urinary-Track Diseases",Drug
Nivolumab with chemotherapy for neoadjuvant treatment of resectable non-small-cell lung cancer,Approved,2023-03-22,Nivolumab_with_chemotherapy_for_neoadjuvant_treatment_of_resectable_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Eptinezumab for preventing migraine,Conditional,2023-03-01,Eptinezumab_for_preventing_migraine.pdf,2022-08,Nervous System,Drug
Cannabidiol for treating seizures caused by tuberous sclerosis complex,Conditional,2023-03-01,Cannabidiol_for_treating_seizures_caused_by_tuberous_sclerosis_complex.pdf,2022-06,"Nervous System, Rare Disease (Orphan Drugs)",Drug
Polatuzumab vedotin in combination for untreated diffuse large B-cell lymphoma,Conditional,2023-03-01,Polatuzumab_vedotin_in_combination_for_untreated_diffuse_large_B-cell_lymphoma.pdf,2022-03,Cancer,Drug
Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,Conditional,2023-02-28,Axicabtagene_ciloleucel_for_treating_diffuse_large_B-cell_lymphoma_and_primary_mediastinal_large_B-cell_lymphoma_after_2_or_more_systemic_therapies.pdf,,Cancer,Drug
Ixazomib with lenalidomide and dexamethasone for treating relapsed or refractory multiple myeloma,Conditional,2023-02-22,Ixazomib_with_lenalidomide_and_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma.pdf,2021-10,Cancer,Drug
Mitapivat for treating pyruvate kinase deficiency (terminated appraisal),Rejected,2023-02-16,Mitapivat_for_treating_pyruvate_kinase_deficiency_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
Vutrisiran for treating hereditary transthyretin-related amyloidosis,Approved,2023-02-15,Vutrisiran_for_treating_hereditary_transthyretin-related_amyloidosis.pdf,2022-10,"Rare Disease (Orphan Drugs), Nervous System",Drug
"Nivolumab with fluoropyrimidine- and platinum-based chemotherapy for untreated unresectable advanced, recurrent, or metastatic oesophageal squamous cell carcinoma",Conditional,2023-02-08,"Nivolumab_with_fluoropyrimidine-_and_platinum-based_chemotherapy_for_untreated_unresectable_advanced,_recurrent,_or_metastatic_oesophageal_squamous_cell_carcinoma.pdf",2022-03,Cancer,Drug
